Index,CO,NO2,O3,SO2,PM2.5
45,0.9,16.0,60.0,8.0,67.0
46,1.6,33.0,38.0,17.0,88.0
47,1.2,19.0,43.0,7.0,57.0
48,1.2,19.0,39.0,6.0,74.0
49,1.1,18.0,37.0,5.0,71.0
50,0.1,14.0,35.0,3.0,53.0
51,1.2,12.0,23.0,3.0,49.0
52,0.6,7.0,16.0,18.0,30.0
53,0.6,6.0,25.0,6.0,34.0
54,0.4,7.0,27.0,5.0,59.0
55,0.5,8.0,25.0,3.0,25.0
56,0.6,8.0,41.0,4.0,27.0
57,0.5,8.0,41.0,3.0,40.0
58,0.5,8.0,41.0,3.0,25.0
59,0.6,10.0,36.0,4.0,25.0
60,0.6,9.0,46.0,6.0,22.0
61,0.5,8.0,55.0,6.0,22.0
62,0.5,7.0,63.0,6.0,23.0
63,0.8,14.0,63.0,15.0,35.0
64,2.5,12.0,50.0,48.0,102.0
65,3.8,65.0,38.0,45.0,170.0
66,4.5,98.0,30.0,45.0,198.0
67,5.2,104.0,25.0,47.0,226.0
68,5.8,107.0,19.0,43.0,239.0
69,5.8,106.0,14.0,36.0,247.0
70,5.1,101.0,3.0,28.0,224.0
71,5.1,100.0,2.0,27.0,215.0
72,5.3,96.0,2.0,25.0,211.0
73,0.9,138.0,2.0,27.0,342.0
74,9.8,128.0,2.0,28.0,364.0
75,9.7,126.0,2.0,29.0,319.0
76,9.3,127.0,2.0,31.0,281.0
77,0.9,127.0,2.0,33.0,262.0
78,8.8,122.0,2.0,34.0,256.0
79,8.8,122.0,2.0,35.0,259.0
80,8.8,121.0,2.0,36.0,264.0
81,8.3,115.0,2.0,36.0,249.0
82,7.9,113.0,2.0,35.0,238.0
83,7.4,107.0,2.0,34.0,232.0
84,6.7,99.0,2.0,34.0,208.0
85,6.2,91.0,14.0,37.0,223.0
86,5.5,80.0,24.0,42.0,214.0
87,4.9,72.0,31.0,43.0,193.0
88,4.1,62.0,40.0,45.0,170.0
89,3.9,61.0,43.0,43.0,162.0
90,3.7,57.0,47.0,42.0,156.0
91,3.6,57.0,43.0,39.0,146.0
92,3.6,53.0,39.0,38.0,154.0
93,3.5,51.0,36.0,37.0,151.0
94,3.7,55.0,25.0,37.0,159.0
95,0.4,63.0,11.0,36.0,183.0
96,0.4,64.0,8.0,36.0,175.0
97,0.4,62.0,5.0,33.0,167.0
98,3.3,46.0,2.0,32.0,154.0
99,2.2,27.0,2.0,21.0,140.0
100,2.1,29.0,2.0,10.0,131.0
101,1.5,34.0,3.0,8.0,127.0
102,2.1,47.0,2.0,7.0,127.0
103,2.6,44.0,4.0,5.0,117.0
104,2.6,52.0,2.0,2.0,110.0
105,2.5,46.0,2.0,2.0,113.0
106,2.4,44.0,2.0,2.0,117.0
107,1.8,36.0,12.0,6.0,135.0
108,2.3,35.0,30.0,10.0,135.0
109,2.2,35.0,36.0,13.0,125.0
110,2.2,35.0,53.0,17.0,118.0
111,2.3,44.0,57.0,19.0,134.0
112,2.4,48.0,59.0,18.0,138.0
113,2.4,49.0,56.0,14.0,135.0
114,2.3,46.0,56.0,11.0,132.0
115,2.3,43.0,48.0,9.0,131.0
116,2.4,44.0,36.0,6.0,135.0
117,2.5,46.0,28.0,6.0,153.0
118,2.5,44.0,23.0,6.0,147.0
119,2.3,39.0,24.0,5.0,138.0
120,2.4,45.0,16.0,4.0,136.0
121,2.4,48.0,9.0,3.0,139.0
122,2.4,40.0,13.0,3.0,136.0
123,2.2,38.0,13.0,3.0,128.0
124,1.9,35.0,16.0,3.0,119.0
125,1.8,31.0,19.0,3.0,110.0
126,0.2,31.0,15.0,2.0,118.0
127,1.8,31.0,18.0,4.0,110.0
128,1.7,29.0,21.0,5.0,106.0
129,1.8,33.0,14.0,4.0,111.0
130,1.8,31.0,19.0,4.0,112.0
131,1.6,27.0,29.0,4.0,104.0
132,1.6,23.0,36.0,5.0,99.0
133,1.7,27.0,32.0,6.0,109.0
134,1.8,31.0,31.0,9.0,112.0
135,1.8,33.0,28.0,11.0,110.0
136,1.9,36.0,22.0,11.0,105.0
137,1.8,34.0,21.0,10.0,105.0
138,1.8,31.0,21.0,8.0,101.0
139,1.8,30.0,19.0,7.0,100.0
140,1.7,29.0,17.0,7.0,88.0
141,1.7,26.0,11.0,7.0,92.0
142,1.7,26.0,17.0,7.0,91.0
143,1.7,25.0,7.0,6.0,89.0
144,1.7,28.0,4.0,7.0,76.0
145,1.8,21.0,2.0,6.0,75.0
146,1.4,17.0,2.0,20.0,94.0
147,1.5,18.0,2.0,12.0,68.0
148,1.1,19.0,5.0,11.0,59.0
149,0.4,7.0,33.0,11.0,30.0
150,0.4,5.0,53.0,10.0,35.0
151,0.4,4.0,56.0,7.0,28.0
152,0.4,5.0,55.0,5.0,35.0
153,0.5,6.0,49.0,4.0,34.0
154,0.6,9.0,47.0,4.0,41.0
155,0.5,8.0,54.0,5.0,35.0
156,0.4,9.0,58.0,5.0,26.0
157,0.4,5.0,69.0,5.0,23.0
158,0.4,6.0,72.0,6.0,17.0
159,0.4,6.0,73.0,6.0,22.0
160,0.3,6.0,72.0,6.0,32.0
161,0.3,6.0,74.0,5.0,24.0
162,0.4,13.0,60.0,5.0,15.0
163,0.4,12.0,57.0,5.0,29.0
164,0.5,15.0,49.0,3.0,31.0
165,0.4,9.0,57.0,2.0,28.0
166,0.2,3.0,68.0,2.0,15.0
167,0.2,2.0,69.0,2.0,13.0
168,0.2,2.0,68.0,2.0,4.0
169,0.2,2.0,69.0,2.0,5.0
170,0.2,2.0,66.0,2.0,14.0
171,0.2,2.0,61.0,2.0,3.0
172,0.2,2.0,60.0,2.0,3.0
173,0.2,2.0,58.0,2.0,10.0
174,0.2,2.0,58.0,2.0,12.0
175,0.2,2.0,55.0,2.0,9.0
176,0.2,2.0,52.0,2.0,8.0
177,0.2,2.0,49.0,2.0,10.0
178,0.6,4.0,45.0,2.0,11.0
179,0.2,2.0,57.0,5.0,3.0
180,0.2,2.0,63.0,6.0,7.0
181,0.2,2.0,66.0,8.0,3.0
182,0.2,3.0,68.0,10.0,11.0
183,0.3,7.0,64.0,16.0,4.0
184,0.3,12.0,59.0,18.0,22.0
185,0.4,21.0,48.0,27.0,18.0
186,0.5,29.0,40.0,22.0,20.0
187,0.8,46.0,23.0,20.0,35.0
188,0.1,61.0,7.0,19.0,52.0
189,1.1,63.0,5.0,18.0,66.0
190,1.1,60.0,6.0,18.0,55.0
191,0.9,38.0,12.0,12.0,41.0
192,0.9,43.0,4.0,11.0,45.0
193,0.1,38.0,2.0,11.0,49.0
194,0.3,7.0,17.0,12.0,29.0
195,0.2,2.0,40.0,2.0,5.0
196,0.1,2.0,42.0,2.0,3.0
197,0.1,2.0,47.0,2.0,3.0
198,0.2,2.0,66.0,2.0,5.0
199,0.2,2.0,61.0,2.0,3.0
200,0.2,2.0,61.0,2.0,16.0
201,0.2,3.0,54.0,2.0,4.0
202,0.3,6.0,57.0,3.0,4.0
203,0.3,8.0,58.0,7.0,12.0
204,0.3,8.0,61.0,9.0,3.0
205,0.3,9.0,63.0,13.0,3.0
206,0.3,2.0,56.0,10.0,3.0
207,0.2,2.0,63.0,9.0,7.0
208,0.4,5.0,54.0,9.0,12.0
209,0.4,12.0,40.0,8.0,21.0
210,0.4,9.0,42.0,8.0,14.0
211,0.4,10.0,40.0,7.0,9.0
212,0.5,9.0,35.0,5.0,11.0
213,0.5,7.0,37.0,5.0,12.0
214,0.5,7.0,36.0,4.0,10.0
215,0.5,8.0,34.0,3.0,6.0
216,0.5,7.0,36.0,2.0,4.0
217,0.6,11.0,27.0,2.0,10.0
218,0.6,24.0,13.0,2.0,17.0
219,0.7,18.0,18.0,2.0,24.0
220,0.6,11.0,29.0,2.0,23.0
221,0.5,11.0,35.0,3.0,13.0
222,0.5,13.0,40.0,5.0,33.0
223,0.4,6.0,42.0,2.0,24.0
224,0.3,5.0,46.0,2.0,17.0
225,0.3,2.0,56.0,2.0,11.0
226,0.3,2.0,60.0,2.0,14.0
227,0.3,3.0,63.0,2.0,7.0
228,0.3,3.0,64.0,2.0,7.0
229,0.3,4.0,65.0,5.0,10.0
230,0.4,5.0,63.0,6.0,12.0
231,0.4,5.0,63.0,7.0,15.0
232,0.5,10.0,55.0,9.0,20.0
233,0.5,11.0,48.0,7.0,25.0
234,0.5,10.0,45.0,6.0,23.0
235,0.6,11.0,38.0,5.0,32.0
236,0.5,12.0,37.0,4.0,25.0
237,0.5,13.0,29.0,3.0,21.0
238,0.5,14.0,28.0,2.0,26.0
239,0.7,15.0,24.0,2.0,33.0
240,0.9,24.0,13.0,2.0,41.0
241,0.1,30.0,7.0,3.0,50.0
242,0.1,25.0,9.0,3.0,48.0
243,1.1,26.0,8.0,3.0,53.0
244,1.1,27.0,7.0,2.0,48.0
245,1.1,32.0,5.0,2.0,57.0
246,0.1,28.0,9.0,2.0,58.0
247,1.1,23.0,18.0,4.0,69.0
248,0.1,18.0,33.0,9.0,76.0
249,0.3,4.0,63.0,3.0,9.0
250,0.3,3.0,67.0,2.0,3.0
251,0.3,2.0,72.0,2.0,4.0
252,0.2,2.0,70.0,3.0,6.0
253,0.2,2.0,70.0,3.0,5.0
254,0.2,2.0,69.0,3.0,9.0
255,0.2,2.0,68.0,3.0,5.0
256,0.2,2.0,67.0,2.0,8.0
257,0.2,2.0,66.0,2.0,11.0
258,0.2,2.0,66.0,2.0,13.0
259,0.2,2.0,64.0,2.0,7.0
260,0.2,2.0,63.0,2.0,9.0
261,0.2,2.0,62.0,2.0,10.0
262,0.3,2.0,48.0,2.0,12.0
263,0.1,2.0,29.0,8.0,8.0
264,0.2,2.0,38.0,4.0,4.0
265,0.2,2.0,37.0,4.0,9.0
266,0.2,3.0,42.0,4.0,8.0
267,0.2,2.0,60.0,3.0,7.0
268,0.2,2.0,58.0,2.0,11.0
269,0.2,3.0,58.0,2.0,6.0
270,0.2,4.0,57.0,2.0,6.0
271,0.2,2.0,66.0,2.0,3.0
272,0.2,2.0,68.0,3.0,7.0
273,0.2,2.0,67.0,4.0,3.0
274,0.3,2.0,68.0,6.0,5.0
275,0.3,3.0,68.0,8.0,7.0
276,0.3,2.0,69.0,8.0,6.0
277,0.3,3.0,67.0,9.0,4.0
278,0.3,3.0,66.0,9.0,7.0
279,0.4,7.0,57.0,12.0,19.0
280,0.6,13.0,46.0,12.0,21.0
281,0.6,20.0,37.0,13.0,27.0
282,0.6,18.0,34.0,10.0,29.0
283,0.6,15.0,32.0,7.0,22.0
284,0.6,16.0,29.0,6.0,27.0
285,0.6,15.0,26.0,5.0,24.0
286,0.7,17.0,23.0,5.0,24.0
287,0.7,19.0,20.0,4.0,28.0
288,0.7,21.0,19.0,4.0,32.0
289,0.1,27.0,12.0,4.0,38.0
290,0.9,29.0,15.0,7.0,33.0
291,0.7,23.0,23.0,6.0,36.0
292,0.5,14.0,40.0,6.0,20.0
293,0.4,8.0,53.0,5.0,21.0
294,0.3,3.0,65.0,4.0,11.0
295,0.3,2.0,66.0,5.0,7.0
296,0.3,2.0,62.0,6.0,9.0
297,0.3,2.0,62.0,7.0,10.0
298,0.3,2.0,61.0,8.0,3.0
299,0.3,2.0,60.0,9.0,4.0
300,0.3,2.0,61.0,9.0,5.0
301,0.3,2.0,60.0,8.0,3.0
302,0.3,2.0,60.0,7.0,6.0
303,0.3,2.0,60.0,7.0,5.0
304,0.3,2.0,59.0,5.0,7.0
305,0.3,2.0,57.0,5.0,4.0
306,0.3,2.0,54.0,4.0,9.0
307,0.4,3.0,49.0,4.0,11.0
308,0.3,2.0,43.0,4.0,3.0
309,0.2,2.0,23.0,7.0,4.0
310,0.3,2.0,30.0,3.0,6.0
311,0.2,3.0,30.0,3.0,6.0
312,0.2,5.0,32.0,2.0,8.0
313,0.3,3.0,48.0,2.0,8.0
314,0.3,3.0,51.0,2.0,6.0
315,0.3,3.0,52.0,2.0,9.0
316,0.3,3.0,51.0,2.0,11.0
317,0.3,4.0,51.0,2.0,10.0
318,0.3,2.0,57.0,2.0,9.0
319,0.3,2.0,60.0,2.0,7.0
320,0.3,2.0,61.0,3.0,6.0
321,0.3,2.0,63.0,4.0,6.0
322,0.3,2.0,65.0,6.0,8.0
323,0.3,2.0,65.0,7.0,3.0
324,0.3,2.0,64.0,7.0,8.0
325,0.4,5.0,57.0,8.0,10.0
326,0.5,7.0,51.0,8.0,16.0
327,0.6,9.0,42.0,8.0,19.0
328,0.6,14.0,39.0,10.0,16.0
329,0.5,9.0,44.0,8.0,14.0
330,0.4,7.0,48.0,7.0,12.0
331,0.4,7.0,48.0,5.0,14.0
332,0.4,8.0,44.0,4.0,13.0
333,0.4,8.0,43.0,3.0,8.0
334,0.4,5.0,48.0,3.0,10.0
335,0.4,5.0,47.0,2.0,7.0
336,0.4,5.0,45.0,2.0,7.0
337,0.4,6.0,43.0,2.0,8.0
338,0.4,7.0,43.0,2.0,11.0
339,0.4,6.0,46.0,2.0,16.0
340,0.4,6.0,47.0,3.0,17.0
341,0.4,5.0,51.0,4.0,12.0
342,0.4,4.0,55.0,5.0,12.0
343,0.3,3.0,60.0,5.0,6.0
344,0.3,3.0,64.0,5.0,12.0
345,0.3,3.0,65.0,7.0,8.0
346,0.4,4.0,63.0,8.0,4.0
347,0.4,4.0,64.0,10.0,8.0
348,0.4,6.0,62.0,11.0,11.0
349,0.5,8.0,56.0,15.0,15.0
350,0.8,17.0,43.0,16.0,34.0
351,0.1,26.0,31.0,19.0,47.0
352,0.8,19.0,33.0,13.0,40.0
353,0.6,12.0,36.0,8.0,19.0
354,0.5,8.0,12.0,13.0,20.0
355,0.5,7.0,16.0,3.0,22.0
356,0.4,10.0,17.0,2.0,25.0
357,0.4,12.0,20.0,2.0,21.0
358,0.6,11.0,31.0,2.0,22.0
359,0.6,11.0,32.0,2.0,22.0
360,0.6,13.0,31.0,2.0,26.0
361,0.5,9.0,43.0,2.0,23.0
362,0.4,7.0,49.0,2.0,22.0
363,0.4,5.0,66.0,4.0,13.0
364,0.3,4.0,73.0,4.0,12.0
365,0.4,4.0,75.0,6.0,11.0
366,0.4,4.0,74.0,8.0,10.0
367,0.6,11.0,61.0,12.0,21.0
368,0.8,20.0,46.0,14.0,40.0
369,1.1,22.0,24.0,9.0,45.0
370,1.2,23.0,20.0,8.0,48.0
371,1.1,25.0,20.0,9.0,48.0
372,1.1,25.0,22.0,9.0,48.0
373,1.1,26.0,20.0,9.0,48.0
374,1.2,27.0,13.0,5.0,49.0
375,1.4,34.0,9.0,5.0,68.0
376,1.4,33.0,7.0,5.0,70.0
377,1.4,32.0,8.0,5.0,70.0
378,1.6,29.0,19.0,10.0,79.0
379,1.6,28.0,25.0,13.0,94.0
380,1.3,24.0,35.0,14.0,76.0
381,1.4,27.0,44.0,21.0,88.0
382,1.9,34.0,69.0,39.0,124.0
383,1.9,37.0,67.0,40.0,128.0
384,2.1,46.0,62.0,47.0,155.0
385,2.3,46.0,58.0,43.0,165.0
386,2.5,47.0,50.0,38.0,186.0
387,2.7,52.0,35.0,35.0,206.0
388,1.7,35.0,3.0,5.0,224.0
389,2.3,50.0,2.0,4.0,250.0
390,3.2,50.0,5.0,5.0,245.0
391,3.3,49.0,3.0,4.0,239.0
392,3.4,50.0,4.0,6.0,240.0
393,3.4,54.0,7.0,14.0,257.0
394,3.3,49.0,15.0,18.0,265.0
395,2.5,35.0,69.0,37.0,241.0
396,1.1,16.0,73.0,14.0,106.0
397,0.2,5.0,60.0,2.0,7.0
398,0.4,4.0,56.0,2.0,7.0
399,0.4,4.0,56.0,2.0,9.0
400,0.4,4.0,57.0,2.0,8.0
401,0.3,6.0,51.0,2.0,9.0
402,0.3,6.0,49.0,2.0,5.0
403,0.3,5.0,56.0,2.0,11.0
404,0.4,5.0,60.0,2.0,11.0
405,0.4,6.0,66.0,2.0,7.0
406,0.8,18.0,73.0,11.0,40.0
407,0.8,19.0,80.0,11.0,49.0
408,0.8,17.0,80.0,11.0,50.0
409,0.7,15.0,80.0,9.0,50.0
410,0.8,14.0,78.0,12.0,56.0
411,0.9,15.0,76.0,16.0,70.0
412,0.9,16.0,72.0,17.0,80.0
413,0.9,17.0,70.0,18.0,83.0
414,0.9,18.0,57.0,8.0,81.0
415,0.9,16.0,53.0,2.0,79.0
416,0.1,13.0,39.0,2.0,83.0
417,0.7,11.0,27.0,18.0,107.0
418,0.7,13.0,24.0,11.0,159.0
419,0.6,14.0,20.0,9.0,137.0
420,0.8,19.0,19.0,10.0,163.0
421,1.3,20.0,25.0,12.0,170.0
422,1.4,21.0,21.0,10.0,192.0
423,1.5,22.0,23.0,17.0,172.0
424,1.1,21.0,30.0,21.0,152.0
425,0.1,19.0,29.0,18.0,133.0
426,1.2,18.0,34.0,19.0,149.0
427,1.1,17.0,40.0,24.0,151.0
428,1.1,17.0,43.0,26.0,143.0
429,1.3,23.0,48.0,52.0,144.0
430,1.4,23.0,50.0,54.0,146.0
431,1.6,27.0,50.0,60.0,155.0
432,1.8,31.0,46.0,59.0,168.0
433,0.2,35.0,39.0,55.0,175.0
434,2.1,34.0,35.0,41.0,203.0
435,2.2,33.0,34.0,34.0,188.0
436,2.2,33.0,30.0,29.0,167.0
437,0.2,33.0,21.0,19.0,173.0
438,2.2,32.0,21.0,19.0,186.0
439,2.4,30.0,17.0,19.0,214.0
440,2.3,29.0,17.0,18.0,192.0
441,1.9,25.0,26.0,24.0,173.0
442,0.5,2.0,55.0,8.0,41.0
443,0.3,2.0,60.0,4.0,13.0
444,0.2,2.0,61.0,3.0,3.0
445,0.2,2.0,62.0,3.0,3.0
446,0.2,2.0,62.0,2.0,4.0
447,0.2,2.0,61.0,2.0,8.0
448,0.2,2.0,62.0,2.0,8.0
449,0.2,2.0,63.0,2.0,3.0
450,0.2,2.0,61.0,2.0,7.0
451,0.3,2.0,61.0,2.0,8.0
452,0.3,2.0,61.0,2.0,10.0
453,0.3,2.0,62.0,2.0,10.0
454,0.3,2.0,61.0,3.0,10.0
455,0.3,2.0,62.0,3.0,14.0
456,0.3,2.0,64.0,3.0,9.0
457,0.3,2.0,64.0,3.0,13.0
458,0.2,2.0,65.0,2.0,9.0
459,0.2,2.0,66.0,2.0,10.0
460,0.2,2.0,66.0,2.0,4.0
461,0.2,2.0,68.0,2.0,7.0
462,0.2,2.0,69.0,2.0,5.0
463,0.2,2.0,70.0,2.0,3.0
464,0.4,2.0,53.0,2.0,3.0
465,0.1,2.0,34.0,4.0,4.0
466,0.2,2.0,42.0,2.0,6.0
467,0.2,2.0,41.0,2.0,5.0
468,0.2,2.0,44.0,2.0,4.0
469,0.2,2.0,63.0,2.0,4.0
470,0.2,2.0,61.0,2.0,9.0
471,0.2,2.0,60.0,2.0,4.0
472,0.2,2.0,61.0,2.0,3.0
473,0.2,2.0,61.0,2.0,3.0
474,0.2,2.0,65.0,2.0,9.0
475,0.2,2.0,66.0,2.0,9.0
476,0.3,2.0,67.0,2.0,3.0
477,0.3,2.0,68.0,4.0,6.0
478,0.3,2.0,67.0,5.0,12.0
479,0.3,3.0,68.0,7.0,3.0
480,0.4,5.0,64.0,10.0,12.0
481,0.5,6.0,61.0,11.0,8.0
482,0.5,11.0,54.0,19.0,16.0
483,0.7,13.0,50.0,17.0,17.0
484,0.7,13.0,48.0,13.0,20.0
485,0.6,12.0,48.0,11.0,19.0
486,0.6,12.0,45.0,10.0,23.0
487,0.6,11.0,42.0,9.0,17.0
488,0.7,11.0,34.0,7.0,28.0
489,0.8,12.0,33.0,7.0,32.0
490,0.7,11.0,33.0,7.0,27.0
491,0.8,15.0,25.0,6.0,27.0
492,0.8,14.0,26.0,6.0,27.0
493,0.8,14.0,25.0,6.0,30.0
494,0.9,15.0,25.0,7.0,39.0
495,0.1,15.0,24.0,6.0,39.0
496,1.1,15.0,25.0,9.0,51.0
497,1.1,15.0,31.0,11.0,51.0
498,0.1,14.0,43.0,14.0,54.0
499,0.9,14.0,62.0,20.0,62.0
500,0.9,15.0,76.0,25.0,70.0
501,0.8,13.0,76.0,23.0,53.0
502,0.7,10.0,77.0,20.0,44.0
503,0.6,9.0,76.0,19.0,39.0
504,0.6,9.0,77.0,18.0,35.0
505,0.7,12.0,73.0,19.0,38.0
506,0.7,12.0,66.0,17.0,42.0
507,0.6,8.0,68.0,14.0,27.0
508,0.4,4.0,67.0,9.0,13.0
509,0.3,4.0,65.0,8.0,7.0
510,0.3,3.0,63.0,7.0,10.0
511,0.3,3.0,62.0,6.0,4.0
512,0.6,3.0,46.0,6.0,5.0
513,0.2,3.0,28.0,5.0,3.0
514,0.2,2.0,38.0,2.0,3.0
515,0.2,3.0,39.0,3.0,8.0
516,0.2,3.0,42.0,2.0,3.0
517,0.2,2.0,63.0,2.0,3.0
518,0.2,2.0,65.0,2.0,3.0
519,0.2,2.0,68.0,2.0,3.0
520,0.2,2.0,68.0,2.0,3.0
521,0.2,2.0,69.0,2.0,9.0
522,0.2,2.0,72.0,2.0,3.0
523,0.2,2.0,73.0,2.0,7.0
524,0.2,2.0,75.0,2.0,3.0
525,0.2,2.0,76.0,2.0,3.0
526,0.3,2.0,77.0,3.0,5.0
527,0.3,2.0,76.0,5.0,3.0
528,0.2,2.0,76.0,5.0,3.0
529,0.2,2.0,75.0,6.0,3.0
530,0.4,4.0,66.0,11.0,7.0
531,0.4,5.0,61.0,10.0,5.0
532,0.3,4.0,57.0,6.0,11.0
533,0.5,8.0,49.0,6.0,10.0
534,0.3,5.0,48.0,4.0,10.0
535,0.4,5.0,45.0,2.0,12.0
536,0.6,7.0,42.0,3.0,14.0
537,0.5,8.0,42.0,2.0,13.0
538,0.7,9.0,36.0,2.0,19.0
539,0.7,10.0,34.0,2.0,20.0
540,0.8,12.0,31.0,2.0,27.0
541,0.6,12.0,30.0,2.0,24.0
542,0.6,13.0,28.0,2.0,34.0
543,0.5,11.0,30.0,2.0,34.0
544,0.5,9.0,36.0,2.0,32.0
545,0.5,7.0,44.0,2.0,31.0
546,0.5,7.0,49.0,2.0,33.0
547,0.5,6.0,54.0,2.0,22.0
548,0.5,6.0,62.0,5.0,35.0
549,0.4,5.0,73.0,8.0,26.0
550,0.5,6.0,75.0,10.0,24.0
551,0.4,4.0,85.0,11.0,19.0
552,0.5,6.0,80.0,12.0,15.0
553,0.8,15.0,63.0,23.0,43.0
554,0.1,20.0,57.0,31.0,49.0
555,0.1,20.0,54.0,24.0,57.0
556,0.9,16.0,52.0,18.0,59.0
557,1.2,16.0,44.0,16.0,49.0
558,0.8,14.0,43.0,11.0,36.0
559,0.7,12.0,44.0,9.0,33.0
560,0.8,11.0,29.0,7.0,36.0
561,0.6,9.0,15.0,13.0,41.0
562,0.8,9.0,18.0,6.0,39.0
563,0.6,12.0,18.0,6.0,41.0
564,0.7,19.0,18.0,7.0,51.0
565,0.1,21.0,23.0,7.0,51.0
566,1.1,22.0,21.0,6.0,46.0
567,0.1,22.0,21.0,6.0,54.0
568,0.9,20.0,24.0,7.0,48.0
569,0.8,16.0,32.0,8.0,50.0
570,0.7,14.0,40.0,8.0,44.0
571,0.8,14.0,47.0,10.0,46.0
572,0.8,17.0,59.0,16.0,49.0
573,0.1,21.0,65.0,20.0,71.0
574,1.1,26.0,70.0,25.0,86.0
575,1.5,39.0,68.0,37.0,115.0
576,1.8,43.0,74.0,42.0,151.0
577,2.4,55.0,65.0,52.0,211.0
578,2.9,64.0,50.0,70.0,261.0
579,3.1,62.0,52.0,88.0,284.0
580,3.1,59.0,52.0,85.0,288.0
581,3.1,61.0,41.0,79.0,285.0
582,3.2,61.0,33.0,73.0,284.0
583,3.2,58.0,26.0,43.0,274.0
584,3.2,54.0,28.0,47.0,268.0
585,3.1,49.0,31.0,43.0,263.0
586,0.3,46.0,32.0,43.0,255.0
587,2.8,47.0,26.0,40.0,238.0
588,2.9,46.0,21.0,31.0,237.0
589,3.1,44.0,23.0,27.0,256.0
590,3.1,40.0,27.0,31.0,262.0
591,3.1,37.0,29.0,26.0,259.0
592,2.9,35.0,32.0,26.0,253.0
593,2.7,32.0,38.0,30.0,261.0
594,2.6,32.0,51.0,39.0,251.0
595,2.6,33.0,70.0,43.0,258.0
596,2.5,29.0,105.0,52.0,265.0
597,2.2,26.0,122.0,49.0,240.0
598,0.2,24.0,133.0,45.0,213.0
599,1.8,22.0,127.0,38.0,169.0
600,0.2,28.0,125.0,43.0,180.0
601,2.2,31.0,124.0,44.0,215.0
602,2.2,32.0,108.0,34.0,211.0
603,1.4,19.0,95.0,21.0,153.0
604,0.5,7.0,81.0,10.0,38.0
605,0.4,6.0,79.0,10.0,14.0
606,0.4,6.0,77.0,9.0,7.0
607,0.3,6.0,77.0,9.0,3.0
608,0.6,6.0,55.0,9.0,11.0
609,0.3,6.0,31.0,15.0,9.0
610,0.2,6.0,40.0,6.0,6.0
611,0.3,7.0,39.0,5.0,8.0
612,0.4,6.0,36.0,4.0,13.0
613,0.3,5.0,56.0,4.0,5.0
614,0.3,4.0,56.0,2.0,11.0
615,0.2,4.0,58.0,2.0,14.0
616,0.2,3.0,58.0,2.0,3.0
617,0.2,3.0,62.0,2.0,9.0
618,0.2,3.0,67.0,2.0,12.0
619,0.2,2.0,73.0,2.0,7.0
620,0.2,2.0,77.0,2.0,11.0
621,0.2,2.0,83.0,2.0,4.0
622,0.1,2.0,86.0,2.0,4.0
623,0.1,2.0,86.0,2.0,3.0
624,0.2,2.0,86.0,2.0,5.0
625,0.2,2.0,83.0,2.0,8.0
626,0.2,2.0,83.0,2.0,8.0
627,0.2,2.0,82.0,2.0,4.0
628,0.2,2.0,79.0,2.0,4.0
629,0.2,2.0,78.0,2.0,3.0
630,0.2,2.0,76.0,2.0,7.0
631,0.2,2.0,76.0,2.0,3.0
632,0.2,2.0,77.0,2.0,4.0
633,0.2,2.0,78.0,2.0,6.0
